gridimage_id;user_id;wgs84_lat;wgs84_long;imageclass;comment;tags
997317;3863;57.382527;-6.612134;Hillside;Just below the point at which things get really steep, the moorland is taking on strong autumn colours.;None
500653;5089;51.193881;-3.690644;Stream;The stream drops down a series of stepped falls. Just above the largest drop in the photo, the stream from Outer Alscott Combe enters from the left.;None
1843705;1249;51.176575;-1.606558;Footpath;A nicely defined footpath crosses this field of Rapeseed.;None
1747664;29880;51.054358;0.6754;Farm track;This track leads off the farm track to Heronden.;None
5196;116;53.593435;-0.739895;Bridge;The swing bridge at Keadby carries the B1392 across the Stainforth and Keadby Canal. The lock just beyond the bridge takes the canal down into the tidal River Trent.;None
1662709;20846;51.81948;-2.297073;Canal bridge;This boat will have no difficulty passing under the bridge. The canal can take much larger vessels, and the bridge can be moved aside to allow them to pass.  When that happens, the red and white barriers are lowered to warn people not to proceed further.;None
808403;2562;51.289579;-1.196893;Road;Descending on the lane to Hannington. The overhanging ash is just coming into leaf.;None
857043;15303;53.338507;-4.493643;Windmill;Taken from inside [[852809]], some of the 34 turbines of the [[733286]] can be seen in the distance. http://www.natwindpower.co.uk/llynalaw/index.asp;None
1487722;12126;52.2547;-6.52968;Farmyard;On the north side of the lane between Mayglass and Gardamus.;None
247299;7327;52.736925;-4.024668;Mill house;This mill was reputed to have a very large water wheel, but I've failed to find any photos or information about it on the web.;None
2426683;34784;55.14404;-2.260713;None;Neat, functional design, probably in the county's house style and dating from the 1960s. The evening sun helps too.;top:Public buildings and spaces?top:Village, Rural settlement?fire station
316847;3763;52.145022;1.250634;Village sign;This junction is where Manor Road meets the B.1078;None
2796086;196;57.674362;-3.489497;None;Near the finish of day 2 of the 2003 Scottish Six Days orienteering event.  Roseisle is planted on sand dunes, and is similar to Culbin on the other side of the Findhorn.;top:Sport, Leisure?top:Woodland, Forest?orienteering
263224;7197;54.282127;-2.162774;Bridleway;This track gradually climbs to join the Roman Road that runs along Wether Fell.;None
955880;1667;52.955079;0.870186;Footbridge;The piers are all that remains of a footbridge on a definitive footpath which crosses the marshes a little way to the east of Wells next the Sea. Sensibly The coast path follows the sea bank further south;None
34278;40;51.458407;-1.303323;School;This impressive entrance is more or less in the centre of the square.;None
2367586;8569;53.157422;-0.703045;Cottage;Set by the junction of High Street and Bulpit Lane.;None
1981133;39302;51.482034;-3.216813;Public house;Pub on the corner of Cowbridge Road East and Kingsland Road. It was built as a hotel at the end of the 19th century. ;None
1439886;7056;53.281805;-4.666618;Promontory;The name Dinas means hill fort,;None
1354630;13903;51.993053;-2.593142;Earthworks;This is the south side of the Iron Age Hill Fort.;None
2726229;2282;54.599994;-7.303404;None;Some Santas were finding it hard going on the Santa Dash up Courthouse Hill - possibly too many mince pies to blame?;top:City, Town centre?top:People, Events?event?street scene
2164737;43370;51.667877;-1.088427;Flood protection scheme;Right on the northern edge of this square, the Mill is now a house, but the mill wheel is still in position in the shadows on the right of this shot, and the mill stream runs between the lawn and the green kiosk. The risk of flooding from the stream is why the kiosk is there. Installed and operated by the Environment Agency, it houses water level monitoring equipment which gives early warning of dangerously high levels in the stream.  A level sensor is in the metal tube to the left of the kiosk, and the gauge board provides a visual reference.;None
785967;4474;51.231914;0.979947;Steps;The Stour Valley Walk looking in the direction of Julliberrie Downs;None
708723;14700;50.720274;-1.880105;Town centre;The Square in Bournemouth, whose pedestrianisation scheme was officially opened on 29 February 2000 – eight years ago today – as indicated by the plaque, right. See [[670330]].;None
2221964;3101;51.102413;0.061642;School;Ashdown House is one of the leading co-educational preparatory schools in the country, catering for boys and girls between 7 and 13. Founded in 1843, it is also one of the oldest. http://www.ashdownhouse.co.uk/;None
768095;6699;52.024945;-4.364052;Valley;View east from the B4335 across a small side valley of the Teifi where the Camnant (crooked stream) runs down towards the main river.;None
1643587;42541;53.641834;-2.267081;Mill (disused);There's less of it now than in earlier pictures. The warning signs around it are obviously to be heeded.;None
1651265;7420;51.540724;-1.727865;Hospital;The viewpoint is near to the flood storage lagoon for the hospital. The building in the background is the Intermediate Care Centre and is in the next square east. For a view of this scene in summer there's this [[1925952]];None
2013455;10124;51.01584;-0.487249;Canal (site of);The route is sometimes difficult to follow in this area.  You have to use your imagination that this is actually the canal, and in due course will be restored.;None
1372695;6638;55.50894;-2.84168;Horse riding;This small group of riders started out from the Dryden Riding Centre 1.2km to the southeast. Viewed on a lovely June evening.;None
319092;9997;52.317787;1.665292;Jetty;A short journey on the passenger ferry over the Blyth takes you to Southwold.;None
1506416;10354;50.868443;0.555151;Garage;This garage and buildings behinds are due to be demolished to make way for a wide road to improve access to a new Asda supermarket behind.;top:Business, Retail, Services?top:Roads, Road transport?subject:garage
1175375;19422;50.913179;-2.68741;Nature Reserve;A haven for plants and wildlife the reserve is maintained by local volunteers.;None
604830;13090;51.556092;-0.277395;Architectural detail;The stadium's signature feature is a circular section lattice arch of 7 m (23 ft) internal diameter with a 315 m (1,033 ft) span, erected some 22° off true, and rising to 140 m (459 ft) tall. It supports all the weight of the north roof and 60% of the weight of the retractable roof on the southern side. The archway is the world's longest unsupported roof structure;None
2066121;2282;54.539462;-7.219888;Cottage (ruined);It is located along Rock Road;None
2062787;15498;56.023145;-2.58202;Seats;With the possibility of looking either inland or out to sea.;None
2974756;23895;53.032157;-0.741254;None;The church spire stands out across the fields. There is plenty of oil seed rape growing around here.;top:Farm, Fishery, Market Gardening?top:Village, Rural settlement?church?country view?countryside?Fields?crop:Oil Seed Rape?oil seed rape
879963;1621;51.541331;-0.181189;Street;Berkley House, on the left, backs on to West Coast Main Line.;None
342238;1906;53.164003;-1.373552;Lane;The photograph shows Green Lane as it enters Lower Pilsley. Behind the viewpoint Green Lane continues toward its [[340361]] with Locko Lane. The junction ahead is with [[342186]]. To see a photograph of Green Lane from the junction ahead and looking back, toward this viewpoint, click here [[342226]]. To see a more easterly (behind the viewpoint) photograph of Green Lane, click here [[342252]].;None
223831;7185;55.94889;-3.178512;Building of civic importance;Shows the MP 'Pods';None
77873;1369;53.363617;-2.114165;Stream;Norbury Brook meanders through Brookfield Garden Centre near Poynton, and here emerges to pass under the A523.;None
2049336;12147;50.428266;-3.556356;Beach huts;A long line of beach huts nestles under the low wooded cliffs at the end of the beach.;None
405485;9905;51.770822;0.52826;Gravel pits;Taken from the footpath bridge over the feed belt.;None
2962402;48289;56.902683;-2.62207;None;A view to the east from the summit of Hound Hillock. This image was taken on an unusually hot day, with extensive haze limiting visibility. Farm-fields in the Howe of the Mearns can be seen in the distance - beyond these lies the North Sea.;top:Farm, Fishery, Market Gardening?top:Heath, Scrub?top:Lowlands?top:Uplands
1300655;3141;54.630046;-3.25903;Fells;Grisedale Pike on the horizon;None
2846259;47667;53.548587;-1.541907;None;Looking from the public footpath beside the clubhouse across one of the greens to a lake, one of several water hazards on this course.;top:Sport, Leisure
2208079;47341;56.222557;-3.631552;Hill landscape;The view of Glendevon and Burnfoot form the path up to Innerdownie.;None
2221628;29880;51.03762;0.480142;Lane junction;Horns Road heads right to Delmonden Farm. Another farm lane heads straight on towards Bokes Farm.;None
1333373;14700;51.359384;0.904032;Church;Looking towards the [[1333364]].;None
1507690;13903;51.93016;-2.055655;Railway (heritage);A steam loco has just left the station at Prestbury Park heading towards Bishop's Cleeve, on one of its 'special events' days.  http://www.gwsr.com/home.aspx Just about to pass under the road bridge on Southam Lane.;None
307868;850;51.667423;-3.885509;Industrial architecture;When the pit was operational, there was a major flooding issue.  This building used to house a Cornish Beam Engine to pump water from the workings.  More recently it appears to have become the hount for local youths.;None
292655;5351;52.473674;-1.88218;Public house;On the corner of High Street Deritend and Adderley Street in Digbeth.;None
2797041;4582;53.321955;-3.847015;None;Quiet at this time of year. The Great Orme looms behind it. ;top:Sport, Leisure?top:Suburb, Urban fringe?place:Great Orme?pond?seaside
187091;1324;50.275006;-5.241934;Paddocks;This field on the outskirts of Porthtowan is used for grazing horses, although there were no horses in evidence at the time I passed.;None
2535276;27348;54.481694;-0.612106;None;The cranes bucket is used to scoop up the silt.  Specification:- Komatsu PC240-8 Excavator, new October 2006.  1.3 m³ bucket, effective digging depth to 7 metres below waterline.;top:Docks, Harbours?dredger?excavator
995820;14530;50.679983;-3.225953;Beach;From the beach east of Sidmouth looking along the coast. Important to time this walk correctly to avoid being cut off by the tide. There is also a danger of landslip.;None
601144;636;52.43641;0.835609;Plantation;A small wood on the southern edge of the Brettenham Heath Nature Reserve.;None
1927475;47667;53.367487;-1.501771;Roundabout;Hunter's Bar is a roundabout and former toll bar on Ecclesall Road in South-West Sheffield. The area is featured in the lyric of the Arctic Monkeys' song 'Fake Tales of San Francisco' - she talks of San Francisco, she's from Hunter's Bar.;None
446889;14416;56.145491;-4.262365;Farmhouse;Taken from bend in road as it turns towards the Pendicles. Main barn out of shot, is on the left beside the 'spare' tyres.;None
8719;307;53.730892;-0.235535;Industrial heritage;The hull of this old wooden ship lies on the mud flats at the entrance to Hedon Haven.;None
2452280;10124;50.56343;-3.972403;None;A track emerges from Beardown Wood and continues towards the farm.;top:Farm, Fishery, Market Gardening?Beardown?Farm?Track
2917097;16999;51.238688;-0.201775;None;These walls and gates originally belonged to Reigate Lodge, a large 18th century mansion, the lodge to which was situated at this entrance.  The house was demolished in the 1930s and the land used for what is now Reigate College (see [[1305570]]) and housing, for example Rushworth Road (see [[2891072]]).  However the surrounding walls and shrubbery were retained, giving some privacy to the houses built immediately behind them, here South Walk. The wall is locally listed.;top:Housing, Dwellings?top:Suburb, Urban fringe?Locally listed?place:Reigate?Reigate College?Reigate Lodge?South Walk?Wall
753692;5089;50.487195;-3.513886;Wild flowers;Primula veris growing by the path above the south side of the beach.;None
541878;15739;52.146063;-9.59251;Railway bridge;Strange 'dog leg' railway bridge between Killarney and Tralee on a back road. Recently renovated, the opportunity was not taken to align it better with both approaching roads, as can be seen for one side in the centre of the shot.;None
741343;6699;51.881611;-5.268549;Cathedral;From the bank below Porth y Twr (Tower Gate) looking west. The cathedral, first built in the C12, has a long and chequered history of destruction, decay, restoration and rebuilding. The original tower collapsed in the C13 and the whole structure of the cathedral was damaged by an earthquake in the same century. The waterlogged and sloping site has also created chronic problems throughout time. The architect John Nash was engaged in 1793 and Sir Gilbert Scott in 1862. He succeeded in rebuilding the tower (damaged by the weight of 7 heavy bells) without taking it down.  A Millennium Appeal raised a huge amount of money to carry out extensive repairs and improvements with the result that the cathedral is now said to be in its best condition since the C17.;None
2124947;20846;53.348514;-6.229217;Hotel;This futuristic looking building is one of Dublin's top hotels.;None
1710305;7629;57.102703;-2.714061;Activity centre;At Dess Activity Centre.;None
394837;11041;51.743521;-2.01096;Sundial;Sundial;None
1148531;2282;54.582061;-7.296095;Road scene;Looking NNW;None
977841;13895;52.88755;-7.308979;Gatehouse;This gate lodge appears to have been the entrance to haywood house, now a school.;None
1466517;32907;53.283748;-3.823615;Harbour scene;The Tower Cafe has two tables next to windows overlooking the harbour, as well as doing excellent Bara Brith.;None
1001557;28441;57.615634;-3.597751;Carved stones (Pictish);This 23 foot high Pictish stone has been dated to the 9th century and in addition to Celtic decoration is inscribed on all faces with horsemen, women captives, headless bodies and even a broch. It is thought to commemorate a battle and predates Sueno a Danish Prince who fought the Scots here about 1008. Sadly it is now encased in glass to protect it from further weathering. Whilst doubtless necessary it has destroyed the character of the site. However, luckily I have slides of the stone prior to its entombment.;None
2635886;10850;56.135939;-3.970178;None;Crosses the Forth just below the M9 bridge. Mainly used by anglers.;top:Rivers, Streams, Drainage?top:Water resources?bridge?River Forth
1421171;11323;53.620364;-1.50908;Berries;Pic taken on Parsons Lane Woolley.;None
1653105;34609;50.579523;-3.629842;Sheds;A closer view is: [[1172950]]. Ball clay and other grades of clay are stored in such sheds, open on one side, before being transferred to a clay works for processing and blending.;None
2043494;42541;53.737378;-2.998714;Car park;Between the lake and the front. On an August afternoon, I would have expected this to be busier.;None
1995503;14530;52.995252;-1.352306;Tearoom;The tea room includes outside seating in the garden.;None
465910;1906;53.174375;-1.283784;Farmland;This north-easterly facing photograph is of a footpath that links the Rowthorne Trail (behind the viewpoint) with Field Lane, Rowthorne (ahead). The photograph shows how the field has been planted with two crops (to aid biodiversity?). The southerly (behind the viewpoint) section of the field is planted with wheat and the northerly section has been planted with Oilseed Rape (Canola) http://www.farm-direct.co.uk/farming/stockcrop/rape/ . The [[465921]] is no more than a furrows width.For a more north-easterly (a few metres ahead) photograph of the footpath, click here [[466085]]. For a more south-westerly (behind the viewpoint) photograph of the footpath, click here [[464622]].;None
1186897;5089;51.292914;-2.447542;Winding gear;This is the relocated pit winding gear wheel from Kilmersdon Colliery which closed in 1973. The former market hall in the background is now the Radstock Museum.;None
1115955;22455;50.812349;-1.133139;Piers;Two of the several piers to be seen at Hardway Gosport. Portsmouth harbour in the back ground.;None
501570;16100;56.853618;-5.406868;Deer;A red deer in front of the row of Cottages at Callop;None
1352715;32242;55.572689;-1.891799;Road;The road crosses Lyham Hill on its way from Belford to Wooler.;None
2783743;46544;52.882572;0.856474;Ford;This is one of three fords on the River Stiffkey just south of the village of Houghton St Giles. The ford is found very close to the Pilgrim Way which passes on the former Great Eastern railway line which ran from East Dereham to Wells-next-the-sea.;subject:ford?Ford
2493738;125;52.110007;-2.318131;Railway bridge;In keeping with the elaborate design of the railway station the bridge is far more ornate than any other in Malvern. Taken from platform 1 (for trains to Worcester, Birmingham, and London). The old disused covered walkway (known as The Worm) from platform 2 to what was the Imperial Hotel can be seen to the right of the tracks, just beyond the bridge. [[[2493962]]];None
1100027;32665;53.994418;-2.099415;Stile;Stile near Gamsbers Wood, Eshton, constructed from concrete, iron and wood.;None
2815548;19028;53.37127;-1.900014;None;The old packhorse route between Edale and Hayfield pictured here looking west following the contours of Oaking Clough.;top:Heath, Scrub?top:Paths?top:Uplands?Old Packhorse Road?Public Bridleway
2638501;20991;53.400618;-4.507355;None;Looks like its now been converted;top:Housing, Dwellings
2566567;18677;51.235204;-1.200704;None;Most fields in the area had been harvested but some recent rain has slowed the process down.;top:Farm, Fishery, Market Gardening
12971;498;53.901915;-1.809721;Ancient site;After yomping with 5 kids to the circle over a bog marked danger on the OS map, the ranger told us he'd been there till 9 pm the night before pulling scouts out of the bog.;None
507774;6829;51.697667;-2.681438;Road junction;Looking towards Chepstow. The road on the right leads up to Tintern Cross (and eventually to Raglan). The narrow road just left of centre runs behind houses and the Abbey Hotel, degenerating into a rocky track - it's part of the Wye Valley Walk. The Royal George Hotel stands on the corner to the right of this photograph.;None
2329462;9181;53.123672;-1.561079;Hillside view;The top houses are on Masson Road, and represent just about the high spot of living in Matlock Bath. ;None
2893860;1324;50.435746;-3.838802;None;Looking down the line of a footpath. The hills of Dartmoor in the background.;top:Farm, Fishery, Market Gardening
2932541;21377;52.112568;-3.556363;None;The river flows busily around an oval island or eyot in midstream, possibly the result of deposits from the Afon Cammarch which joins the Irfon a short way upstream.;top:Rivers, Streams, Drainage?top:Village, Rural settlement
2849193;15498;56.008616;-3.582262;None;New housing to the north of the A993, with the Firth of Forth beyond.;top:Farm, Fishery, Market Gardening?top:Housing, Dwellings?top:Lowlands?top:Roads, Road transport?top:Suburb, Urban fringe?a993?Boness?farmland?Firth of Forth?housing estate
2391354;1777;53.014502;-4.08028;None;The dripping water, rich in minerals, has caused the stalactites to grow.  The lighting has caused the plants to grow!;top:Geological interest?top:Quarrying, Mining?Copper?mine?Stalactite
1510571;14840;52.514878;1.702332;Churchyard;See > http://www.geograph.org.uk/photo/1510544 for a view of the church.;None
75992;125;52.167892;-2.201723;Roundabout;In St Peter the Great County south of Worcester where the newish (1980s) Southern Relief Road crosses the Worcester to Norton road.;None
539402;10788;50.613343;-2.452224;Beach front;A view from the Pavilion end of the Esplanade looking north on a fine summer's morning before the 'grockles' are out of bed. The beach is raked over every morning in summer to remove any rubbish and level out any major ditches and fortifications built by kiddies the previous day, and the lines left by the machines can be seen here.;None
510029;1086;50.839067;-1.504734;Woodland;This open woodland is in the thin strip between the eastern edge of the Denny Lodge Inclosure and the railway line. Although many of the oaks here are stunted due to the poor soil, the one in the foreground is particularly eye-catching due to its T-shape. The wasted earthwork known as the Bishop's Dyke passes beneath the bracken somewhere around here.;None
1640199;23874;56.782063;-4.664987;Mountainside;Loch Ossian and Ben Alder in distance.;None
1183129;1533;50.966887;-1.28592;Cul-de-sac;Seen looking across Mortimer Lane (the B3037). The turning on left (to right of the lamp post) is Cedar Wood Close.;None
696319;4820;54.305928;-0.79093;Viewpoint;The edge of the Tabular Hills west of Newton on Rawcliffe provides a fine view over Elleron Lake towards Elleron Lodge, which can be seen amongst the trees.;None
1116919;7774;53.658169;-2.313941;River;Looking downstream.;None
385433;11987;52.237859;-0.419249;Houses;Spring afternoon, daffodils in bloom outside Freddies Cottage, Keysoe Row West looking west ;None
207119;6713;51.639915;-3.804881;Bridge;Bridge carrying the former 'South Wales Mineral Railway' over Pant-Howel-Ddu Road.;None
1716532;13903;51.913731;-2.581279;Cinema (site of);The cinema was open between 1913 and 1950 and demolished during the 1970s. This homewares shop now stands on the site at the junction of Cantilupe Road, Henry Street and Gloucester Road.;None
9289;195;54.174434;-2.453418;Rock feature;A classic limestone pavement in the Yorkshire Dales National Park;None
1422299;2282;54.478374;-8.207268;Country road;Heading west;None
2820534;2282;54.376946;-7.464152;None;Heading ESE towards Tempo;top:Roads, Road transport?country road
384495;6218;54.377832;-3.162617;Beck;The beck with Seathwaite Tarn Dam in the background.;None
687487;19111;54.924492;-3.712634;Farmland;Glensone Farm, and then a hazy Solway Firth with the Lake District Hills in the far distance.;None
712173;10354;51.156057;0.442297;Oast house;Seen during conversion.;subject:oast house?Oast house
23825;636;57.245673;-3.700203;Loch;Looking south over the loch from the car park for the Osprey Centre;None
1726195;125;52.109976;-2.329374;Tree;Two branches have broken off the Cedar tree when covered in snow: one last month narrowly missed a parked car, but the latest one successfully damaged a car. A specialist team have cut down all but the trunk of the tree. Compare with [[1726191]];None
352498;11053;55.063981;-5.002387;Snowscene;View of animals in field. Wooded hill in far background has been recently felled.;None
1972047;48731;53.625941;-2.156151;Public house sign;One of many Sam Smith pubs in Rochdale.;None
1192253;21460;51.628381;-1.373103;Footpath;The footpath back to the footbridge over the ditch by the canal.;None
317544;1782;53.687931;-0.389228;Beck;Photo taken from the road bridge looking upstream.;None
35070;1139;50.831018;-1.937472;Hill;View looking south east;None
1875042;21377;52.869143;-3.374277;Valley landscape;This view is taken from just above where the path crosses the stream, looking back to the point of the valley where the waterfall is sited out of sight in the trees on the right.;None
2204047;43192;54.104166;-0.119996;Coastal view;A quiet bay.;None
